period,theta,mu,xi,n,a,s,psi,support,quota_wedge,signal_precision,natural_entry,quota_gap
42,-0.06421078919985593,-0.06369524106725741,11.771765656227071,1.5,0.0,0.375,0.05787240876855748,0.05787240876855748,0.0,1.2750937988318962,1.438442519781927,0.0
43,-0.16765020402265293,0.0396957271101586,11.770898718236996,1.5,0.0,0.375,-0.01255872496765964,0.0,0.01255872496765964,1.2750937988318962,1.513044562035311,0.013044562035311014
44,-0.3236758730610435,0.07269976159989135,11.770352244427627,1.5,0.0,0.375,-0.01255872496765964,0.0,0.01255872496765964,1.2750937988318962,1.513044562035311,0.013044562035311014
45,-0.02537916529525225,0.041663434244523866,11.770007763764813,1.5,0.0,0.375,-0.01255872496765964,0.0,0.01255872496765964,1.2750937988318962,1.513044562035311,0.013044562035311014
46,-0.016362898362167283,0.04638915505098011,11.76979060904116,1.5,0.0,0.375,-0.01255872496765964,0.0,0.01255872496765964,1.2750937988318962,1.513044562035311,0.013044562035311014
47,-0.026874165126153624,-0.0019358156576094743,11.769653716638128,1.5,0.0,0.375,0.02302413515220747,0.02302413515220747,0.0,1.2750937988318962,1.4757981955722759,0.0
48,0.17606824870356008,-0.10418725419344073,11.76956742018122,1.5,0.125,0.375,0.09292972891075602,0.09292972891075602,0.0,1.673560610966864,1.3999508438947856,0.0
49,0.24524463245719602,-0.06489271986773869,12.018415993068096,1.5,0.0,0.375,0.05787240876855748,0.05787240876855748,0.0,1.2750937988318962,1.438442519781927,0.0
50,0.34824193238592704,-0.0009152402204081504,11.925490818902476,1.5,0.0,0.375,0.02302413515220747,0.02302413515220747,0.0,1.2750937988318962,1.4757981955722759,0.0
51,0.11509221711792716,-0.010337168284717481,11.867454515670362,1.5,0.0,0.375,0.02302413515220747,0.02302413515220747,0.0,1.2750937988318962,1.4757981955722759,0.0
52,0.06822417325806018,0.019516974639825855,11.831081913289408,1.5,0.0,0.375,0.02302413515220747,0.02302413515220747,0.0,1.2750937988318962,1.4757981955722759,0.0
53,-0.11362027451935437,0.0715588622429623,11.808236781631255,1.5,0.0,0.375,-0.01255872496765964,0.0,0.01255872496765964,1.2750937988318962,1.513044562035311,0.013044562035311014
54,-0.09593286126572684,0.03504793612002655,11.793868459992247,1.5,0.0,0.375,-0.01255872496765964,0.0,0.01255872496765964,1.2750937988318962,1.513044562035311,0.013044562035311014
55,0.07320763329641515,0.044573042698525106,11.784823818842225,1.5,0.0,0.375,-0.01255872496765964,0.0,0.01255872496765964,1.2750937988318962,1.513044562035311,0.013044562035311014
