period,hotspot_a,belief_a,n,a,test_intensity,s,psi,support,quota_wedge,signal_accuracy,natural_entry,quota_gap
30,1,0.7360806324788948,1.0,1.0,0.0,0.375,0.353838456928034,0.353838456928034,0.0,0.5390844171540782,0.6168414130072724,0.0
31,1,0.7229113631871459,1.0,1.0,0.0,0.375,0.35567444150586974,0.35567444150586974,0.0,0.5390844171540782,0.6144659838173967,0.0
32,1,0.712665192035132,1.0,1.0,0.0,0.375,0.3575071946373417,0.3575071946373417,0.0,0.5390844171540782,0.612089874981983,0.0
33,1,0.6508223283766273,1.0,0.75,0.75,0.375,0.37745662018732773,0.37745662018732773,0.0,0.6707147342675921,0.5859071780902871,0.0
34,1,0.7448717040344954,1.0,1.0,0.0,0.375,0.35199923234993297,0.35199923234993297,0.0,0.5390844171540782,0.619216164762131,0.0
35,1,0.6797423378204122,1.0,0.8500000000000001,0.5099999999999998,0.375,0.37060839234764176,0.37060839234764176,0.0,0.6339807835168263,0.5949616256184544,0.0
36,1,0.5425372357346192,1.0,0.55,0.99,0.375,0.38764432600662674,0.38764432600662674,0.0,0.7031787448774502,0.5723063230360164,0.0
37,1,0.36022916384936066,1.0,0.30000000000000004,0.8400000000000001,0.375,0.3803265321115691,0.3803265321115691,0.0,0.6833611216184847,0.5820917321662376,0.0
38,1,0.5407982362708992,1.0,0.55,0.99,0.375,0.38764432600662674,0.38764432600662674,0.0,0.7031787448774502,0.5723063230360164,0.0
39,1,0.6983634599256212,1.0,1.0,0.0,0.375,0.3593367248462667,0.3593367248462667,0.0,0.5390844171540782,0.6097130842797758,0.0
40,1,0.6380763764493222,1.0,0.7000000000000001,0.8399999999999999,0.375,0.3803265321115691,0.3803265321115691,0.0,0.6833611216184847,0.5820917321662376,0.0
41,1,0.7451779905615813,1.0,1.0,0.0,0.375,0.35199923234993297,0.35199923234993297,0.0,0.5390844171540782,0.619216164762131,0.0
42,1,0.6800188231431105,1.0,0.8500000000000001,0.5099999999999998,0.375,0.37060839234764176,0.37060839234764176,0.0,0.6339807835168263,0.5949616256184544,0.0
